SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
11624,i99H,Internet users (%),% of individuals,ITU World Telecommunication Indicators Database,2024,Afghanistan,AFG,,,,16.09499931,,ITU estimate.,2026-02-02
11632,i271mw,Active mobile-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2024,Afghanistan,AFG,,,,25630751.0,,ITU estimate.,2026-01-12
19306,i271GA,Percentage of the population covered by at least an LTE/WiMAX mobile network.,% of individuals,ITU World Telecommunication Indicators Database,2024,Afghanistan,AFG,,,,37.32410104,,ITU estimate.,2026-01-08
260,i61,Population,Value,ITU World Telecommunication Indicators Database,2024,Afghanistan,AFG,,,,42647492.0,,UN Population Division World Population Prospects 2024,2024-07-17
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2024,Afghanistan,AFG,,,,27.98975982,,ITU estimate.,2026-02-02
260,i61,Population,Value,ITU World Telecommunication Indicators Database,2024,Angola,AGO,,,,37885849.0,,UN Population Division World Population Prospects 2024,2024-07-17
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2024,Angola,AGO,,,,55.62824302,,ITU estimate.,2026-02-02
19257,i4213tfbb,Fixed-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2024,Angola,AGO,,,,137467.0,,Angolan Institute of Communications,2025-06-25
11632,i271mw,Active mobile-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2024,Angola,AGO,,,,12648006.0,,Angolan Institute of Communications,2025-06-25
11624,i99H,Internet users (%),% of individuals,ITU World Telecommunication Indicators Database,2024,Angola,AGO,,,,40.70479965,,ITU estimate.,2026-02-02
19306,i271GA,Percentage of the population covered by at least an LTE/WiMAX mobile network.,% of individuals,ITU World Telecommunication Indicators Database,2024,Angola,AGO,,,,77.4,,Angolan Institute of Communications,2025-06-25
19306,i271GA,Percentage of the population covered by at least an LTE/WiMAX mobile network.,% of individuals,ITU World Telecommunication Indicators Database,2024,Armenia,ARM,,,,100.0,,Ministry of High-Tech Industry of Armenia,2025-05-30
260,i61,Population,Value,ITU World Telecommunication Indicators Database,2024,Armenia,ARM,,,,2973840.0,,UN Population Division World Population Prospects 2024,2024-07-17
19257,i4213tfbb,Fixed-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2024,Armenia,ARM,,,,603960.0,,Ministry of High-Tech Industry of Armenia,2025-05-30
