SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
260,i61,Population,Value,ITU World Telecommunication Indicators Database,2025,Afghanistan,AFG,,,,43844111,,UN Population Division World Population Prospects 2024,2024-07-17
11630,i271s,Satellite broadband subscriptions ,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,Technology,Satellite broadband,,897,,Angolan Institute of Communications,2026-07-10
19257,i4213tfbb,Fixed-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,147528,,Angolan Institute of Communications,2026-07-10
19303,i992b,Fixed broadband subscriptions per 100 inhabitants,per 100 people,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,0.37788896676050965,,UN Population Division World Population Prospects 2024,2026-07-10
430,i271G,Percentage of the population covered by at least a 3G mobile network ,% of individuals,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,90.87,,Angolan Institute of Communications,2026-07-10
260,i61,Population,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,39040039,,UN Population Division World Population Prospects 2024,2024-07-17
8447,i4213ftthb,Fibre-to-the-home/building Internet subscriptions ,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,Technology,Fibre-to-the-home/building,,128324,,Angolan Institute of Communications,2026-07-10
11631,i271fw,Terrestrial fixed wireless broadband subscriptions ,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,Technology,Terrestrial fixed wireless,,5210,,Angolan Institute of Communications,2026-07-10
240,i4213ob,Other fixed (wired)-broadband subscriptions ,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,Technology,Other fixed broadband,,6105,,Angolan Institute of Communications,2026-07-10
194,i271pop,Percentage of the population covered by a mobile-cellular network ,% of individuals,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,97.87,,Angolan Institute of Communications,2026-07-10
34236,i271G5_pop,Percentage of the population covered by at least a 5G mobile network  ,% of individuals,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,33.8,,Angolan Institute of Communications,2026-07-10
235,i4213dsl,DSL Internet subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,Technology,DSL ,,6992,,Angolan Institute of Communications,2026-07-10
19306,i271GA,Percentage of the population covered by at least an LTE/WiMAX mobile network.,% of individuals,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,80.28,,Angolan Institute of Communications,2026-07-10
11633,i271mb_active,Data and voice mobile-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,Technology,Data and voice mobile-broadband subscriptions,,16783095,,Angolan Institute of Communications,2026-07-10
11634,i271md,Data-only mobile-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,Technology,Data-only mobile-broadband subscriptions,,1167343,,Angolan Institute of Communications,2026-07-10
11632,i271mw,Active mobile-broadband subscriptions ,Value,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,17950438,,Angolan Institute of Communications,2026-07-10
12066,i911mw,Active mobile-broadband subscriptions per 100 inhabitants,per 100 people,ITU World Telecommunication Indicators Database,2025,Angola,AGO,,,,45.97955960033749,,UN Population Division World Population Prospects 2024,2026-07-10
34644,i992b_10to30,"Fixed broadband, 10 to 30 Mbit/s subscriptions per 100 inhabitants",per 100 people,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Speed tier,10 Mbit/s to less than 30 Mbit/s,,3.0070468929146634,,Ministry of High-Tech Industry of Armenia; UN Population Division World Population Prospects 2024,2026-07-03
11632,i271mw,Active mobile-broadband subscriptions ,Value,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,,,,3332344,,Ministry of High-Tech Industry of Armenia,2026-07-02
12066,i911mw,Active mobile-broadband subscriptions per 100 inhabitants,per 100 people,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,,,,112.87032599289044,,Ministry of High-Tech Industry of Armenia; UN Population Division World Population Prospects 2024,2026-07-03
11634,i271md,Data-only mobile-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Technology,Data-only mobile-broadband subscriptions,,56919,,Ministry of High-Tech Industry of Armenia,2026-07-02
11633,i271mb_active,Data and voice mobile-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Technology,Data and voice mobile-broadband subscriptions,,3275425,,Ministry of High-Tech Industry of Armenia,2026-07-02
34646,i992b_G100,"Fixed broadband, at least 100 Mbit/s subscriptions per 100 inhabitants",per 100 people,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Speed tier,Equal to or above 100 Mbit/s,,8.482690995185216,,Ministry of High-Tech Industry of Armenia; UN Population Division World Population Prospects 2024,2026-07-03
34645,i992b_30to100,"Fixed broadband, 30 to 100 Mbit/s subscriptions per 100 inhabitants",per 100 people,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Speed tier,30 Mbit/s to less than 100 Mbit/s,,8.393880837904527,,Ministry of High-Tech Industry of Armenia; UN Population Division World Population Prospects 2024,2026-07-03
19257,i4213tfbb,Fixed-broadband subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,,,,624985,,Ministry of High-Tech Industry of Armenia,2026-07-02
11627,i4213_2to10,"Fixed broadband, 2 Mbit/s to less than 10 Mbit/s subscriptions ",Value,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Speed tier,2 Mbit/s to less than 10 Mbit/s,,37805,,Ministry of High-Tech Industry of Armenia,2026-07-02
28035,i4213_10to30,"Fixed broadband, 10 Mbit/s to less than 30 Mbit/s subscription",Value,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Speed tier,10 Mbit/s to less than 30 Mbit/s,,88779,,Ministry of High-Tech Industry of Armenia,2026-07-02
11628,i4213_G10,"Fixed broadband, equal to or above 10 Mbit/s subscriptions",Value,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Speed tier,Equal to or above 10 Mbit/s,,587037,,Ministry of High-Tech Industry of Armenia,2026-07-02
34235,i992b_G10_%,"Fixed broadband,G10,% of total ",% fixed broadband subscriptions,ITU World Telecommunication Indicators Database,2025,Armenia,ARM,Speed tier,Equal to or above 10 Mbit/s,,93.92817427618263,,Ministry of High-Tech Industry of Armenia,2026-07-03
